searchingName,collection,follows,game_engines,genre1,genre2,genre3,keywords1,keywords2,keywords3,keywords4,keywords5,name,rating,rating_count,themes1,themes2,themes3,themes4,themes5
Franchise Hockey Manager 2,,0.0,,Simulator,Sport,Strategy,,,,,,Franchise Hockey Manager 2,50.0,1.0,Business,,,,
,,,,,,,,,,,,,,,,,,,
Cloud Chamber,,0.0,Unity,Adventure,,,sci-fi,adventure,steam,online,steam trading cards,Cloud Chamber,0.0,0.0,Science fiction,,,,
Frozen Synapse,Frozen Synapse,11.0,Torque 2D,Strategy,Turn-based strategy (TBS),Tactical,futuristic warfare,cyberpunk,spec ops,cybernetics,blood,Frozen Synapse,77.1666827826791,21.0,Science fiction,,,,
Ski Region Simulator,,0.0,,Simulator,,,,,,,,Ski Region Simulator,60.0,0.0,,,,,
,,,,,,,,,,,,,,,,,,,
Secret Of Magia,,0.0,,Fighting,Role-playing (RPG),Strategy,,,,,,Secret Of Magia,40.0,1.0,Action,,,,
,,,,,,,,,,,,,,,,,,,
Guns of Icarus Online,Guns of Icarus,10.0,Unity,Shooter,Simulator,Tactical,pirates,vehicular combat,flight simulator,indie,first person shooter,Guns of Icarus Online,53.1312745133664,34.0,Action,Action,Historical,,
,,,,,,,,,,,,,,,,,,,
Tea Party Simulator 2015,,0.0,,Simulator,Indie,,,,,,,Tea Party Simulator 2015,60.0,0.0,Action,,,,
DeadCore,,2.0,Unity,Shooter,Platform,Strategy,sci-fi,real-time strategy,platformer,first-person perspective,color separation,DeadCore,62.4036806153802,12.0,Action,Action,,,
Crysis Wars,Crysis,3.0,,Shooter,,,first person shooter,sci-fi,crysis warhead,,,Crysis Wars,61.593632973377,6.0,Action,Action,,,
Faerie Solitaire,,3.0,,Puzzle,Role-playing (RPG),Turn-based strategy (TBS),casual,indie,wizards,magic,cardgame,Faerie Solitaire,69.5948904807684,11.0,Fantasy,,,,
Hatoful Boyfriend,Hatoful Boyfriend,12.0,,Indie,Visual Novel,,anime,interactive fiction,dating,japanese,death,Hatoful Boyfriend,65.4801105419424,35.0,Drama,Drama,Romance,,
Anno Online,Anno,2.0,,Real Time Strategy (RTS),Simulator,Strategy,free to play ( f2p ),medieval,simulation,strategy,daily login rewards,Anno Online,50.2985099790565,5.0,Historical,,,,
All Is Dust,,0.0,,Adventure,,,ghosts,death,fire,adventure,horror,All Is Dust,0.0,0.0,Horror,,,,
Dota 2,Dota,204.0,Source 2,Strategy,MOBA,,ghosts,free to play ( f2p ),blood,moba,magic,Dota 2,80.3908686526193,471.0,Action,Action,Warfare,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Crimsonland,,15.0,,Shooter,Role-playing (RPG),Indie,aliens,post-apocalyptic,retro,blood,shoot 'em up,Crimsonland,73.3950415644926,30.0,Action,Action,Horror,Survival,
SpeedRunners,,21.0,,Platform,Racing,Sport,super hero,indie,steam,steam trading cards,platformer,SpeedRunners,76.6027044604847,70.0,Action,Action,,,
,,,,,,,,,,,,,,,,,,,
Return to Mysterious Island 2,Return to Mysterious Island,3.0,,Point-and-click,Adventure,,helicopter,exploration,puzzles,sci-fi,adventure,Return to Mysterious Island 2,60.0,3.0,Action,Action,Science fiction,Historical,Mystery
Gas Guzzlers Extreme,Gas Guzzlers,3.0,,Fighting,Shooter,Racing,vehicular combat,racing,big guns,driving,shooter,Gas Guzzlers Extreme,65.07692307692311,7.0,Action,Action,,,
,,,,,,,,,,,,,,,,,,,
Survarium,,11.0,CryEngine,Shooter,Role-playing (RPG),Adventure,post-apocalyptic,free to play ( f2p ),russia,first person shooter,mmofps,Survarium,50.05999945981191,10.0,Action,Action,Survival,Open world,
Midnight Club II,Midnight Club,12.0,,Racing,Arcade,,sandbox,street racing,steam,building,sequel,Midnight Club II,75.2605742889542,30.0,Action,,,,
This War of Mine,,0.0,,Visual Novel,,,,,,,,This War of Mine,0.0,0.0,Warfare,,,,
,,,,,,,,,,,,,,,,,,,
Race The Sun,,14.0,Unity 5,Platform,Racing,Indie,indie,endless running,kickstarter funded,ps4,time manipulation,Race The Sun,71.96068986380129,54.0,Action,,,,
Apotheon,,16.0,,Platform,Role-playing (RPG),Hack and slash/Beat 'em up,greek mythology,indie,side scroller,sword,2d,Apotheon,69.7288299116836,70.0,Action,Action,Historical,,
Super Monday Night Combat,Monday Night Combat,0.0,,Shooter,Real Time Strategy (RTS),Sport,super hero,post-apocalyptic,cyberpunk,indie,moba,Super Monday Night Combat,73.9217528516838,6.0,Action,Action,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Divine Souls,,0.0,,Fighting,Role-playing (RPG),Strategy,martial arts,anime,fighting,sword,fantasy,Divine Souls,0.0,0.0,Action,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The Adventures of Mr. Bobley,,0.0,,Adventure,Indie,,,,,,,The Adventures of Mr. Bobley,60.0,0.0,,,,,
Epic Battle Fantasy 4,,1.0,,Role-playing (RPG),Strategy,Turn-based strategy (TBS),fantasy,turn-based,role playing,steam,steam trading cards,Epic Battle Fantasy 4,90.0,4.0,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Magic Duels,Magic: The Gathering – Duels of the Planeswalkers,5.0,,Strategy,Turn-based strategy (TBS),Card & Board Game,free to play ( f2p ),magic,fantasy,turn-based,collectible card game ( ccg ),Magic Duels,80.73889527646,17.0,Fantasy,,,,
Galactic Civilizations III,Galactic Civilizations,13.0,,Simulator,Strategy,Turn-based strategy (TBS),aliens,space combat,space station,construction,4x,Galactic Civilizations III,77.2953871524349,11.0,Science fiction,Science fiction,,,
Dex,Dex,11.0,Unity,Role-playing (RPG),Adventure,Indie,cyberpunk,cybernetics,stealth,drugs,minigames,Dex,76.2520698864225,30.0,Action,Action,,,
,,,,,,,,,,,,,,,,,,,
Mass Effect 2,Mass Effect,802.0,Unreal Engine 3,Shooter,Role-playing (RPG),Simulator,aliens,assassin,exploration,blood,disease,Mass Effect 2,91.4472231522739,1948.0,Action,Action,,,
War of the Vikings,,3.0,,Hack and slash/Beat 'em up,,,medieval,sword,vikings,steam,viking,War of the Vikings,0.0,0.0,Action,Action,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Robotex,,1.0,Unity,Adventure,Indie,,casual,2d,,,,Robotex,40.0,2.0,Action,,,,
,,,,,,,,,,,,,,,,,,,
Banished,,53.0,,Real Time Strategy (RTS),Simulator,Strategy,medieval,disease,city-building,management,farming,Banished,70.7634354139498,149.0,Historical,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Worms Armageddon,Worms,75.0,,Shooter,Platform,Strategy,artillery game,comedy,turn-based,death,parachute,Worms Armageddon,81.8855847185739,244.0,Action,Action,Warfare,,
,,,,,,,,,,,,,,,,,,,
Darkstone,,4.0,,Role-playing (RPG),,,blood,magic,sword,fantasy,health,Darkstone,68.3939636375635,15.0,Action,Action,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
8BitBoy,,2.0,,Platform,Indie,,steam,platformer,8-bit,,,8BitBoy,60.0,4.0,Action,,,,
RAGE,Rage,76.0,id Tech 5,Shooter,Racing,,vehicular combat,post-apocalyptic,first person shooter,fps,racing,RAGE,72.9911881230756,223.0,Action,Action,,,
Tales from the Borderlands,Tales from the Borderlands,187.0,Telltale Tool,Point-and-click,Adventure,,motorcycle,robot,blood,mech,sword,Tales from the Borderlands,85.44854899951551,410.0,Action,Action,Comedy,,
Escape Goat,Escape Goat,5.0,,Platform,Puzzle,Indie,medieval,magic,fantasy,desura,death,Escape Goat,71.1887767726476,12.0,Action,Action,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Clockwork Empires,,2.0,,Simulator,Strategy,Indie,blood,survival,procedural generation,shadow,steampunk,Clockwork Empires,50.0,1.0,Fantasy,Fantasy,,,
Tower Wars,,0.0,Torque 3D,Real Time Strategy (RTS),Strategy,Indie,tower defense,medieval,comedy,desura,difficult,Tower Wars,50.0,3.0,Action,Action,Comedy,,
,,,,,,,,,,,,,,,,,,,
Greed Corp,Mistbound,1.0,,Puzzle,Strategy,Turn-based strategy (TBS),pirates,robot,turn-based,robots,cannon,Greed Corp,80.0,4.0,Action,,,,
Valkyria Chronicles,Valkyria Chronicles,38.0,CANVAS Engine,Role-playing (RPG),Strategy,Turn-based strategy (TBS),tanks,anime,stealth,grinding,story driven,Valkyria Chronicles,86.7405768461247,103.0,Action,Action,Historical,Drama,Warfare
Blackguards,Blackguards,7.0,Unity,Role-playing (RPG),Strategy,Turn-based strategy (TBS),fantasy,turn-based,role playing,steam trading cards,hexagon,Blackguards,65.0576421050057,14.0,Fantasy,,,,
,,,,,,,,,,,,,,,,,,,
Savage Lands,,3.0,,Role-playing (RPG),Adventure,Indie,fighting,fantasy,adventure,simulation,,Savage Lands,50.0,4.0,Action,Action,Survival,Sandbox,Open world
Planet Explorers,,5.0,,Role-playing (RPG),Simulator,Adventure,aliens,exploration,indie,sandbox,arpg - action rpg,Planet Explorers,69.9635656369327,7.0,Action,Action,Survival,Sandbox,Open world
Anodyne,Anodyne,4.0,Flixel,Platform,Adventure,Indie,exploration,indie,retro,dungeon,action-adventure,Anodyne,66.7900360640824,27.0,Action,Action,,,
Startopia,,6.0,,Real Time Strategy (RTS),Simulator,Strategy,space station,managerial,rts,city-building,strategic,Startopia,89.75110883415,14.0,Science fiction,Science fiction,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Unturned,,28.0,Unity,Shooter,Adventure,Indie,zombies,post-apocalyptic,survival,first person shooter,crafting,Unturned,68.3614713327171,94.0,Action,Action,Survival,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cricket Revolution,,0.0,,Shooter,Simulator,Sport,cricket,shooter,simulation,sports,digital distribution,Cricket Revolution,50.0,1.0,,,,,
,,,,,,,,,,,,,,,,,,,
Card Hunter,,8.0,,Role-playing (RPG),Strategy,Turn-based strategy (TBS),medieval,sword,fantasy,turn-based,role playing,Card Hunter,81.44311985953239,9.0,Historical,,,,
Dustforce,,0.0,,,,,action game,playstation 3,ps3,platformer game,dustforce,Dustforce,71.2360161816927,9.0,Action,,,,
,,,,,,,,,,,,,,,,,,,
NBA 2K13,NBA 2K,8.0,,Simulator,Sport,Strategy,basketball,nba,simulation,sports,achievements,NBA 2K13,77.6162236601679,35.0,,,,,
,,,,,,,,,,,,,,,,,,,
MacGuffin's Curse,,0.0,,Puzzle,Adventure,Indie,adventure,steam,steam trading cards,puzzle,gold,MacGuffin's Curse,70.0,0.0,,,,,
,,,,,,,,,,,,,,,,,,,
Toribash,,6.0,,Fighting,Simulator,Strategy,free to play ( f2p ),fighting,fighting simulator,violence,abstract,Toribash,68.5564497837962,14.0,Action,Action,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Invisible, Inc.",,29.0,Moai,Strategy,Turn-based strategy (TBS),Tactical,assassin,spy,cyberpunk,indie,stealth,"Invisible, Inc.",77.05111072469239,53.0,Action,Action,Stealth,,
Anno 1404,Anno,51.0,,Real Time Strategy (RTS),Simulator,Strategy,city building and management,construction,fire,resource management,city-building,Anno 1404,80.22926144129141,120.0,Fantasy,Fantasy,,,
You Must Build A Boat,10000000,0.0,,Puzzle,Role-playing (RPG),Strategy,wizards,ninja,demon,vampire,magic,You Must Build A Boat,80.0,3.0,Action,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Dungeons & Dragons Online,Dungeons & Dragons,4.0,,Role-playing (RPG),Adventure,,orcs,sword,fantasy,health,dragons,Dungeons & Dragons Online,67.4469207949016,15.0,Action,Action,,,
Camera Obscura,,0.0,,Platform,Puzzle,Strategy,fantasy,puzzles,steam,pixel graphics,platformer,Camera Obscura,50.0,1.0,Action,,,,
Runers,,0.0,,Shooter,Role-playing (RPG),Indie,orcs,indie,vampire,magic,fantasy,Runers,80.0,2.0,Fantasy,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Nuclear Dawn,,3.0,Source,Shooter,Real Time Strategy (RTS),Strategy,modern warfare,vehicular combat,post-apocalyptic,first person shooter,tactical shooter,Nuclear Dawn,58.2863757081965,5.0,Action,Action,Warfare,,
,,,,,,,,,,,,,,,,,,,
Five Nights at Freddy's,Five Nights at Freddy's,0.0,,Simulator,Strategy,Adventure,,,,,,Five Nights at Freddy's,0.0,0.0,Action,Action,Survival,,
,,,,,,,,,,,,,,,,,,,
Mad Max,Mad Max,0.0,,Puzzle,Racing,Adventure,vehicular combat,post-apocalyptic,health,role playing,water,Mad Max,0.0,0.0,Action,,,,
RPG Maker VX Ace,,1.0,,,,,,,,,,RPG Maker VX Ace,80.0,4.0,,,,,
Monochroma,,4.0,Unity,Platform,Puzzle,Adventure,puzzles,steam,steam trading cards,abstract,platformer,Monochroma,60.8505841180116,13.0,Action,Action,,,
,,,,,,,,,,,,,,,,,,,
Stranded Deep,,42.0,Unity,Simulator,Adventure,Indie,island,survival,shark,crafting,adventure,Stranded Deep,61.9368699651043,30.0,Horror,Horror,,,
Holy Potatoes! A Weapon Shop?!,Holy Potatoes!,5.0,,Simulator,Strategy,Indie,comedy,management,role playing,simulation,steam,Holy Potatoes! A Weapon Shop?!,69.8672873493079,7.0,Fantasy,Fantasy,Business,,
iBomber Defense Pacific,iBomber,0.0,,Real Time Strategy (RTS),Strategy,Indie,world war 2 ( ww2 ),tower defense,casual,steam,real-time strategy,iBomber Defense Pacific,62.2594351565045,5.0,,,,,
Football Superstars,,0.0,,Sport,,,soccer,football,management,steam,sports,Football Superstars,0.0,0.0,,,,,
,,,,,,,,,,,,,,,,,,,
Influent,,0.0,,Simulator,Strategy,Indie,indie,guitar,educational,keyboard,simulation,Influent,58.6294724075197,6.0,Educational,,,,
,,,,,,,,,,,,,,,,,,,
Deadbreed,,1.0,,Real Time Strategy (RTS),Role-playing (RPG),Strategy,free to play ( f2p ),moba,horror,steam,multiplayer online battle arena,Deadbreed,0.0,0.0,Action,Action,Horror,,
,,,,,,,,,,,,,,,,,,,
Kingdoms CCG,,0.0,,Strategy,,,,,,,,Kingdoms CCG,0.0,0.0,,,,,
Speedball 2 HD,Speedball,1.0,,Sport,Indie,,cyberpunk,sports,future sport,,,Speedball 2 HD,50.0,2.0,Action,Action,,,
,,,,,,,,,,,,,,,,,,,
Monaco,,0.0,,Racing,,,,,,,,Monaco,0.0,0.0,,,,,
,,,,,,,,,,,,,,,,,,,
Lords of the Realm II,Lords of the Realm,5.0,,Real Time Strategy (RTS),Role-playing (RPG),Strategy,medieval,sword,fantasy,war,diplomacy,Lords of the Realm II,80.0,4.0,Historical,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The Wolf Among Us,The Wolf Among Us,310.0,Telltale Tool,Point-and-click,Adventure,,lollipop,blood,serial killer,detective,murder,The Wolf Among Us,84.1528028174823,907.0,Action,Action,Thriller,Drama,Mystery
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Windborne,,0.0,,,,,indie,sandbox,fantasy,digital distribution,block-breaking,Windborne,0.0,0.0,Sandbox,,,,
,,,,,,,,,,,,,,,,,,,
Cubemen 2,Cubemen,1.0,,Shooter,Puzzle,Strategy,tower defense,cube,steam,steam trading cards,cross-platform multiplayer,Cubemen 2,67.0,1.0,Action,,,,
,,,,,,,,,,,,,,,,,,,
Puzzle Agent,Puzzle Agent,7.0,Telltale Tool,Point-and-click,Puzzle,Adventure,casual,detective,short,funny,surreal,Puzzle Agent,61.6054663436435,18.0,Action,Action,Comedy,Mystery,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Euro Truck Simulator,Euro Truck Simulator,8.0,Prism3D,Racing,Simulator,Indie,trucks,management,simulation,truck simulator,car,Euro Truck Simulator,58.9665365859551,24.0,Non-fiction,,,,
Quake II,Quake,338.0,id Tech 2,Shooter,,,aliens,robot,blood,mech,health,Quake II,83.38260781358599,223.0,Action,Action,Horror,,
,,,,,,,,,,,,,,,,,,,
The Undying Plague,,0.0,Construct,Indie,,,arena shooter,twin-stick shooter,,,,The Undying Plague,40.0,0.0,Action,,,,
MechWarrior Online,MechWarrior,7.0,,Simulator,Strategy,,vehicular combat,robot,free to play ( f2p ),mech,sci-fi,MechWarrior Online,89.4941026955921,11.0,Action,Action,,,
Cities in Motion 2,Cities in Motion,6.0,Unity,Simulator,Strategy,,sandbox,city-building,management,simulation,steam,Cities in Motion 2,72.2465380840461,11.0,Business,Business,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ancient Space,,3.0,,Real Time Strategy (RTS),Strategy,,sci-fi,space battle,space exploration,real-time strategy,,Ancient Space,50.0,2.0,Science fiction,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Farming Simulator 2011,Farming Simulator,0.0,,Simulator,,,farming,simulation,steam,slice of life,cross-platform multiplayer,Farming Simulator 2011,80.0,3.0,Open world,,,,
,,,,,,,,,,,,,,,,,,,
Indigo Prophecy,,112.0,,Adventure,,,helicopter,basketball,interactive movie,psychological thriller,paranormal,Indigo Prophecy,82.697080956048,308.0,Thriller,Thriller,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Really Big Sky,Big Sky,1.0,Multimedia Fusion,Shooter,Indie,Arcade,shoot 'em up,desura,procedural generation,sci-fi,space,Really Big Sky,60.0,1.0,Action,Action,,,
Besiege,,24.0,Unity,Puzzle,Simulator,Strategy,artillery game,sandbox,medieval,art of war,absorbing,Besiege,75.28021795483559,49.0,Action,Action,Sandbox,Warfare,
RPG Maker 2003,,0.0,,,,,,,,,,RPG Maker 2003,80.0,2.0,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gravilon,,0.0,,Platform,Puzzle,Strategy,,,,,,Gravilon,50.0,0.0,,,,,
TerraTech,,35.0,Unity,Strategy,Adventure,Indie,strategy,,,,,TerraTech,70.2357326497087,11.0,Action,Action,,,
Mass Effect,Mass Effect,713.0,Unreal Engine 3,Shooter,Role-playing (RPG),,aliens,soldier,military,romance,spaceship,Mass Effect,86.57090186880181,1848.0,Action,Action,,,
,,,,,,,,,,,,,,,,,,,
Last Word,,0.0,RPG Maker XP,Puzzle,Role-playing (RPG),Adventure,mystery,party,role playing,rpg maker,,Last Word,80.0,1.0,Action,Action,,,
War of the Roses,War of the Roses,3.0,,Adventure,,,historical warfare,knights,,,,War of the Roses,43.8606998389761,13.0,Action,,,,
,,,,,,,,,,,,,,,,,,,
Fractured Space,,5.0,Unreal Engine,Shooter,Strategy,Adventure,space combat,vehicular combat,free to play ( f2p ),moba,sci-fi,Fractured Space,62.12851003993001,5.0,Action,Action,,,
The Incredible Adventures of Van Helsing,The Incredible Adventures of Van Helsing,22.0,,Role-playing (RPG),Strategy,Adventure,ghosts,tower defense,indie,blood,arpg - action rpg,The Incredible Adventures of Van Helsing,67.5783123046111,53.0,Action,Action,Horror,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Car Mechanic Simulator 2014,Car Mechanic Simulator,3.0,,Puzzle,Simulator,,casual,cars,simulation,mechanical,car,Car Mechanic Simulator 2014,61.4392305875632,15.0,Business,,,,
Enemy Front,,12.0,CryEngine,Shooter,,,historical warfare,world war 2 ( ww2 ),blood,stealth,history,Enemy Front,56.597941742684,28.0,Action,Action,Warfare,,
Platypus II,Platypus,0.0,,,,,shoot 'em up,fantasy,claymation,steam,steam trading cards,Platypus II,50.0,1.0,Action,,,,
Starpoint Gemini 2,Starpoint Gemini,3.0,,Role-playing (RPG),Simulator,,sci-fi,space,role playing,simulation,steam,Starpoint Gemini 2,80.0,3.0,Action,Action,Sandbox,Open world,
,,,,,,,,,,,,,,,,,,,
Transformice,,7.0,,Platform,Puzzle,Strategy,2d,steam,steam trading cards,platformer,puzzle,Transformice,69.2124713793602,19.0,Comedy,Comedy,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The Gate,,0.0,,Real Time Strategy (RTS),Role-playing (RPG),Strategy,fantasy,horror,real-time strategy,card game,,The Gate,0.0,0.0,Action,Action,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DCS World,,4.0,,Simulator,,,combat flight simulator,flight simulator,air-combat,vehicle simulation,simulation,DCS World,91.2397509550126,5.0,Sandbox,Sandbox,,,
,,,,,,,,,,,,,,,,,,,
Gun Monkeys,,0.0,,Shooter,Platform,Indie,arena,indie,comedy,desura,monkey,Gun Monkeys,0.0,0.0,Action,Action,Comedy,,
,,,,,,,,,,,,,,,,,,,
Mirror's Edge,Mirror's Edge,257.0,Unreal Engine,Shooter,Platform,Adventure,cyberpunk,platformers,parkour,city running,first person shooter,Mirror's Edge,77.6774970885637,731.0,Action,,,,
Bob Was Hungry,,0.0,,Platform,Indie,,platformer,,,,,Bob Was Hungry,80.0,1.0,,,,,
Get Off My Lawn!,,0.0,,Shooter,Indie,,aliens,sci-fi,shooter,steam,ps vita,Get Off My Lawn!,0.0,0.0,Action,Action,,,
Don't Starve,Don't Starve,103.0,,Simulator,Adventure,Indie,ghosts,robot,exploration,indie,survival,Don't Starve,76.1920386257551,282.0,Action,Action,Horror,Survival,Sandbox
,,,,,,,,,,,,,,,,,,,
Killing Floor 2,Killing Floor,82.0,Unreal Engine 3,Shooter,,,modern warfare,zombies,post-apocalyptic,blood,survival,Killing Floor 2,72.7634921771166,106.0,Action,Action,Horror,,
Empyrion - Galactic Survival,,8.0,,Shooter,Simulator,Strategy,sandbox,space mining,space station,survival,first person shooter,Empyrion - Galactic Survival,64.25029119946869,14.0,Action,Action,Survival,Sandbox,Open world
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Software Inc.,,6.0,,Simulator,Strategy,Indie,tycoon,management,simulation,strategy,business,Software Inc.,79.8995179974529,10.0,Business,,,,
Broken Age,,54.0,Moai,Point-and-click,Adventure,Indie,fantasy,comedy,kickstarter funded,fire,ps4,Broken Age,74.98247853128919,138.0,Fantasy,Fantasy,Comedy,,
Into the Dark,,1.0,,Adventure,Indie,,indie,psychological horror,,,,Into the Dark,50.0,3.0,Action,Action,,,
Build-A-Lot,Build-A-Lot,1.0,,Simulator,,,management,simulation,steam,time limit,sunglasses,Build-A-Lot,70.0,0.0,,,,,
,,,,,,,,,,,,,,,,,,,
